Set,Number,Tier,Type,Name,Shields,HP/Power,Text,Unleash,Player Damage,Gravehold Damage,Miscellaneous,Avoidable Benefit,Minion Damage,Equivalent Aether,Avoidable Cost,Instances to Kill Minion,Player Turns to Kill,Persistent Triggers/Discard Probability,Persistent Unleash,Persistent Player Damage,Persistent Gravehold Damage,Persistent Miscellaneous,,Assume 2 player turns of overlap between minions (i.e. you start damage a minion two player turns after it enters play).,
AE,204,1,Power,Agony Field,,2,"To Discard: Destroy a card in hand that costs 2$ or more.
Power 2: Unleash.  Any player discards three cards and then draws one card.",1,0,0,3,4.7,0,10,5,,4,50%,,,,,,Assume 4 basic tier 3 cards are revealed.,
AE,205,1,Minion,Bane Sire,,6,Persistent: Unleash.,2.7,0.0,0.0,0.0,0,6.7,11.0,0,5,7,2.75,1,,,,,,
AE,206,1,Power,Bleed Static,,3,Power 3: The player with the most prepped spells suffers 2 damage for each of their prepped spells.,0,4,0,0,0,0,8,0,,,,,,,,,,
AE,207,1,Power,Eye of Nothing,,2,"To Discard: Spend 6$.
Power 2: Unleash twice.",2,0,0,0,1.4,0,8,6,,4,25%,,,,,,,
AE,208,1,Minion,Haze Spewer,,5,"Persistent: Gravehold suffers damage equal to this minion's current life.  Then, this minion suffers 1 damage.",0.0,0.0,3.6,0.0,0,5.3,7.1,0,4,5,1.78,,,2,,,,
AE,209,1,Attack,Skewer,,,Unleash.  Any player suffers 3 damage and draws a card.,1,3,0,0,0,0,10,0,,,,,,,,,,
AE,210,1,Attack,Slaughter,,,Unleash.  Gravehold suffers 3 damage.,1,0,3,0,0,0,10,0,,,,,,,,,,
AE,211,1,Power,Woven Sky,,2,"To Discard: Discard three cards.
Power 2: Unleash.  Any player suffers 4 damage.",1,4,0,0,6.0,0,12,6,,4,85%,,,,,,,
AE,P01,1,Attack,Menace,,,The players collectively discard two spells that are in hand or prepped.  The players collectively place two gems from their hands on top of their decks.,0,0,0,4,0,0,8,0,,,,,,,,AE,,
AE,P05,1,Minion,Glyph Enigma,,7,"Persistent: Gravehod suffers 1 damage.  If the nemesis tier is 2 or higher, Gravehold suffers 2 additional damage.",0.0,0.0,6.4,0.0,0,8.0,12.8,0,6,8,3.21,,,2,,AE,,
AE,212,2,Attack,Awaken,,,Unleash twice and Gravehold suffers 3 damage.  OR Place the most recently discarded minion in the nemesis discard pile back into play.,2,0,3,0,0,0,14,0,,,,,,,,,,
AE,213,2,Minion,Cauterizer,3,0,"When damage is dealt to this minion, reduce that damage to 1.
Persistent: Any player suffers damage equal to this minion's current life.",0.0,1.1,0.0,0.0,0,6.0,2.1,0,3,2,0.53,,2,,,,,
AE,214,2,Attack,Dispel,,,Unleash twice.  The player with the most prepped spells discards their most expensive prepped spell.,2,0,0,2,0,0,12,0,,,,,,,,,Assume >3$ spell,
AE,215,2,Minion,Needlemaw,,11,Persistent: Gravehold suffers 2 damage.,0.0,0.0,2.5,0.0,0,12.0,5.1,0,6,4,1.27,,,2,,,,
AE,216,2,Attack,Lay Waste,,,Unleash twice.  Any player suffers 2 damage.,2,2,0,0,0,0,12,0,,,,,,,,,,
AE,217,2,Power,Pulverizing Ray,,1,"Power 1: Gravehold suffers 18 damage.  The players may collectively discard up to 6 gems.  For each gem discarded this way, prevent 3 of that damage.",0,0,3,5,0,0,16,0,,,,,,,,,Assume 5 gems discarded.,
AE,218,2,Minion,Venomite,,9,Persistent: The player with the lowest life suffers 2 damage.  OR Any player discards a prepped spell that costs 3$ or more.,0.0,0.9,0.0,0.9,0,10.0,3.5,0,5,3,0.88,,1,,1,,OR,
AE,P02,2,Power,Gravity Splinter,,2,"To Discard: Spend 7$.
Power 2: Unleash twice.  The player with the fewest opened breaches suffers 3 damage.",2,3,0,0,4.8,0,14,7,,4,25%,,,,,AE,,
AE,219,3,Power,Doom Aegis,,1,"To Discard: Spend 7$.
Power 1: The player with the most charges suffers 4 damage and loses all of their charges.",0,4,0,3,5.3,0,14,7,,2,50%,,,,,,Assume 3 charges discarded,
